token	textid	word	wordpos	condition	model	tokenizer	punctuation	target	predicted	prob
The	1	The	0	random	QCRI/bert-base-multilingual-cased-pos-english	QCRI/bert-base-multilingual-cased-pos-english	False	DT	DT	0.9997743368148804
Golden	1	Golden	1	random	QCRI/bert-base-multilingual-cased-pos-english	QCRI/bert-base-multilingual-cased-pos-english	False	NNP	NNP	0.9996951222419739
State	1	State	2	random	QCRI/bert-base-multilingual-cased-pos-english	QCRI/bert-base-multilingual-cased-pos-english	False	NNP	NNP	0.9997199177742004
War	1	Warrirors	3	random	QCRI/bert-base-multilingual-cased-pos-english	QCRI/bert-base-multilingual-cased-pos-english	False	NNPS	NNPS	0.872401237487793
##rir	1	Warrirors	3	random	QCRI/bert-base-multilingual-cased-pos-english	QCRI/bert-base-multilingual-cased-pos-english	False	NNPS	NNPS	0.8525828123092651
##ors	1	Warrirors	3	random	QCRI/bert-base-multilingual-cased-pos-english	QCRI/bert-base-multilingual-cased-pos-english	False	NNPS	NNPS	0.9207190275192261
are	1	are	4	random	QCRI/bert-base-multilingual-cased-pos-english	QCRI/bert-base-multilingual-cased-pos-english	False	VBP	VBP	0.9980643391609192
an	1	an	5	random	QCRI/bert-base-multilingual-cased-pos-english	QCRI/bert-base-multilingual-cased-pos-english	False	DT	DT	0.9998288750648499
American	1	American	6	random	QCRI/bert-base-multilingual-cased-pos-english	QCRI/bert-base-multilingual-cased-pos-english	False	JJ	JJ	0.9871192574501038
professional	1	professional	7	random	QCRI/bert-base-multilingual-cased-pos-english	QCRI/bert-base-multilingual-cased-pos-english	False	JJ	JJ	0.9972197413444519
basketball	1	basketball	8	random	QCRI/bert-base-multilingual-cased-pos-english	QCRI/bert-base-multilingual-cased-pos-english	False	NN	NN	0.9991515874862671
team	1	team	9	random	QCRI/bert-base-multilingual-cased-pos-english	QCRI/bert-base-multilingual-cased-pos-english	False	NN	NN	0.9997453689575195
based	1	based	10	random	QCRI/bert-base-multilingual-cased-pos-english	QCRI/bert-base-multilingual-cased-pos-english	False	VBN	VBN	0.9988507032394409
in	1	in	11	random	QCRI/bert-base-multilingual-cased-pos-english	QCRI/bert-base-multilingual-cased-pos-english	False	IN	IN	0.9997530579566956
San	1	San	12	random	QCRI/bert-base-multilingual-cased-pos-english	QCRI/bert-base-multilingual-cased-pos-english	False	NNP	NNP	0.9996310472488403
Francisco	1	Francisco	13	random	QCRI/bert-base-multilingual-cased-pos-english	QCRI/bert-base-multilingual-cased-pos-english	False	NNP	NNP	0.997801661491394
.	1	.	14	random	QCRI/bert-base-multilingual-cased-pos-english	QCRI/bert-base-multilingual-cased-pos-english	True	.	.	0.9999104142189026
No	2	Noam	0	random	QCRI/bert-base-multilingual-cased-pos-english	QCRI/bert-base-multilingual-cased-pos-english	False	NNP	NNP	0.999238908290863
##am	2	Noam	0	random	QCRI/bert-base-multilingual-cased-pos-english	QCRI/bert-base-multilingual-cased-pos-english	False	NNP	NNP	0.9993470907211304
Cho	2	Chomsky	1	random	QCRI/bert-base-multilingual-cased-pos-english	QCRI/bert-base-multilingual-cased-pos-english	False	NNP	NNP	0.9995152354240417
##msky	2	Chomsky	1	random	QCRI/bert-base-multilingual-cased-pos-english	QCRI/bert-base-multilingual-cased-pos-english	False	NNP	NNP	0.999092698097229
is	2	is	2	random	QCRI/bert-base-multilingual-cased-pos-english	QCRI/bert-base-multilingual-cased-pos-english	False	VBZ	VBZ	0.9996636509895325
a	2	a	3	random	QCRI/bert-base-multilingual-cased-pos-english	QCRI/bert-base-multilingual-cased-pos-english	False	DT	DT	0.9998100996017456
soft	2	soft	4	random	QCRI/bert-base-multilingual-cased-pos-english	QCRI/bert-base-multilingual-cased-pos-english	False	JJ	JJ	0.999256432056427
revolution	2	revolution	5	random	QCRI/bert-base-multilingual-cased-pos-english	QCRI/bert-base-multilingual-cased-pos-english	False	NN	NN	0.9997790455818176
.	2	.	6	random	QCRI/bert-base-multilingual-cased-pos-english	QCRI/bert-base-multilingual-cased-pos-english	True	.	.	0.9999290108680725
