	model	level_1	sentid	wordpos_mod	prob	surp	pairid	contextid	lemma	condition	comparison	sentence	ROI
0	gpt2	0	1	0	0.5480115972459316	1.6902365684509277	1	1	BE	sing	expected	Hello, the student is the chameleon.	3,4
1	gpt2	1	1	1	0.0168225113302469	5.893463134765625	1	1	BE	sing	expected	Hello, the student is the chameleon.	3,4
2	gpt2	2	1	2	0.0002735531015787	11.835891723632812	1	1	BE	sing	expected	Hello, the student is the chameleon.	3,4
3	gpt2	3	1	3	0.0401069410145282	4.64000415802002	1	1	BE	sing	expected	Hello, the student is the chameleon.	3,4
4	gpt2	4	1	4	0.0157160926610231	5.991613388061523	1	1	BE	sing	expected	Hello, the student is the chameleon.	3,4
5	gpt2	5	1	5	0.30844282519319677	4.921128200832754	1	1	BE	sing	expected	Hello, the student is the chameleon.	3,4
6	gpt2	6	2	0	0.5480115972459316	1.6902365684509277	1	1	BE	sing	unexpected	Hello, the student are the chameleon.	3,4
7	gpt2	7	2	1	0.0168225113302469	5.893463134765625	1	1	BE	sing	unexpected	Hello, the student are the chameleon.	3,4
8	gpt2	8	2	2	0.0002735531015787	11.835891723632812	1	1	BE	sing	unexpected	Hello, the student are the chameleon.	3,4
9	gpt2	9	2	3	0.0005809001740999	10.749422073364258	1	1	BE	sing	unexpected	Hello, the student are the chameleon.	3,4
10	gpt2	10	2	4	0.015517670661211	6.009943962097168	1	1	BE	sing	unexpected	Hello, the student are the chameleon.	3,4
11	gpt2	11	2	5	0.103874242027814	5.78997802734375	1	1	BE	sing	unexpected	Hello, the student are the chameleon.	3,4
12	gpt2	12	3	0	0.5480115972459316	1.6902365684509277	2	1	LIKE	sing	expected	Hello, the student likes the chameleon.	3,4
13	gpt2	13	3	1	0.0168225113302469	5.893463134765625	2	1	LIKE	sing	expected	Hello, the student likes the chameleon.	3,4
14	gpt2	14	3	2	0.0002735531015787	11.835891723632812	2	1	LIKE	sing	expected	Hello, the student likes the chameleon.	3,4
15	gpt2	15	3	3	5.051780317444354e-05	14.27284812927246	2	1	LIKE	sing	expected	Hello, the student likes the chameleon.	3,4
16	gpt2	16	3	4	0.0619100108742713	4.013683319091797	2	1	LIKE	sing	expected	Hello, the student likes the chameleon.	3,4
