token	sentid	word	wordpos	condition	model	tokenizer	punctuation	prob	surp
the	1	the	0	grammatical	gpt2	gpt2	False	1.0	0.0
Ġboy	1	 boy	1	grammatical	gpt2	gpt2	False	0.00014532243949361145	12.748455047607422
Ġis	1	 is	2	grammatical	gpt2	gpt2	False	0.0441029854118824	4.502979755401611
Ġhappy	1	 happy	3	grammatical	gpt2	gpt2	False	0.0010745628969743848	9.86203384399414
.	1	.	4	grammatical	gpt2	gpt2	True	0.09873344004154205	3.3403172492980957
the	2	the	0	ungrammatical	gpt2	gpt2	False	1.0	0.0
Ġboy	2	 boy	1	ungrammatical	gpt2	gpt2	False	0.00014532243949361145	12.748455047607422
Ġare	2	 are	2	ungrammatical	gpt2	gpt2	False	0.0003298751835245639	11.565792083740234
Ġhappy	2	 happy	3	ungrammatical	gpt2	gpt2	False	0.0016106634866446257	9.278128623962402
.	2	.	4	ungrammatical	gpt2	gpt2	True	0.08291873335838318	3.5921578407287598
R	3	Rudolfson	0	grammatical	gpt2	gpt2	False	1.0	0.0
ud	3	Rudolfson	0	grammatical	gpt2	gpt2	False	0.0004478090850170702	11.124828338623047
olf	3	Rudolfson	0	grammatical	gpt2	gpt2	False	0.04314352571964264	4.534711837768555
son	3	Rudolfson	0	grammatical	gpt2	gpt2	False	0.00043477342114783823	11.167448043823242
Ġwas	3	 was	1	grammatical	gpt2	gpt2	False	0.03565587103366852	4.80971622467041
Ġoutside	3	 outside	2	grammatical	gpt2	gpt2	False	0.00016339773719664663	12.579324722290039
Ġthe	3	 the	3	grammatical	gpt2	gpt2	False	0.3204381763935089	1.6418819427490234
Ġstore	3	 store	4	grammatical	gpt2	gpt2	False	0.00966875720769167	6.692453861236572
.	3	.	5	grammatical	gpt2	gpt2	True	0.04524657502770424	4.466047763824463
R	4	Rudolfson	0	ungrammatical	gpt2	gpt2	False	1.0	0.0
ud	4	Rudolfson	0	ungrammatical	gpt2	gpt2	False	0.0004478090850170702	11.124828338623047
olf	4	Rudolfson	0	ungrammatical	gpt2	gpt2	False	0.04314352571964264	4.534711837768555
son	4	Rudolfson	0	ungrammatical	gpt2	gpt2	False	0.00043477342114783823	11.167448043823242
Ġwere	4	 were	1	ungrammatical	gpt2	gpt2	False	0.00030277573387138546	11.689462661743164
Ġoutside	4	 outside	2	ungrammatical	gpt2	gpt2	False	0.0002329561539227143	12.06765365600586
Ġthe	4	 the	3	ungrammatical	gpt2	gpt2	False	0.28963157534599304	1.78770911693573
Ġstore	4	 store	4	ungrammatical	gpt2	gpt2	False	0.009862253442406654	6.663866996765137
.	4	.	5	ungrammatical	gpt2	gpt2	True	0.060647912323474884	4.043397903442383
the	1	the	0	grammatical	bert-base-uncased	bert-base-uncased	False	0.8157113790512085	0.29386913776397705
boy	1	boy	1	grammatical	bert-base-uncased	bert-base-uncased	False	0.04164443537592888	4.585732460021973
is	1	is	2	grammatical	bert-base-uncased	bert-base-uncased	False	0.06835124641656876	3.8708884716033936
happy	1	happy	3	grammatical	bert-base-uncased	bert-base-uncased	False	0.003451710566878319	8.178472518920898
.	1	.	4	grammatical	bert-base-uncased	bert-base-uncased	True	0.9532437920570374	0.06908275187015533
the	2	the	0	ungrammatical	bert-base-uncased	bert-base-uncased	False	0.4280800521373749	1.224047303199768
boy	2	boy	1	ungrammatical	bert-base-uncased	bert-base-uncased	False	0.00012925466580782086	12.917495727539062
are	2	are	2	ungrammatical	bert-base-uncased	bert-base-uncased	False	3.26108347508125e-05	14.904289245605469
happy	2	happy	3	ungrammatical	bert-base-uncased	bert-base-uncased	False	0.005448666866868734	7.519880771636963
.	2	.	4	ungrammatical	bert-base-uncased	bert-base-uncased	True	0.9383837580680847	0.09174995869398117
rudolf	3	Rudolfson	0	grammatical	bert-base-uncased	bert-base-uncased	False	6.365733611346513e-07	20.58316993713379
##son	3	Rudolfson	0	grammatical	bert-base-uncased	bert-base-uncased	False	0.00018262282537762076	12.418845176696777
was	3	was	1	grammatical	bert-base-uncased	bert-base-uncased	False	0.050975073128938675	4.294064044952393
outside	3	outside	2	grammatical	bert-base-uncased	bert-base-uncased	False	0.016656653955578804	5.90775728225708
the	3	the	3	grammatical	bert-base-uncased	bert-base-uncased	False	0.9016534686088562	0.1493549942970276
store	3	store	4	grammatical	bert-base-uncased	bert-base-uncased	False	0.014078681357204914	6.150343894958496
.	3	.	5	grammatical	bert-base-uncased	bert-base-uncased	True	0.9744769930839539	0.03729994222521782
rudolf	4	Rudolfson	0	ungrammatical	bert-base-uncased	bert-base-uncased	False	1.6699825522437095e-08	25.83559226989746
##son	4	Rudolfson	0	ungrammatical	bert-base-uncased	bert-base-uncased	False	0.0005567772313952446	10.810611724853516
were	4	were	1	ungrammatical	bert-base-uncased	bert-base-uncased	False	0.00026779508334584534	11.866582870483398
outside	4	outside	2	ungrammatical	bert-base-uncased	bert-base-uncased	False	0.055451471358537674	4.172630310058594
the	4	the	3	ungrammatical	bert-base-uncased	bert-base-uncased	False	0.8666166663169861	0.2065340280532837
store	4	store	4	ungrammatical	bert-base-uncased	bert-base-uncased	False	0.01199838425964117	6.381015777587891
.	4	.	5	ungrammatical	bert-base-uncased	bert-base-uncased	True	0.9425615668296814	0.08534116297960281
